num_features,mean_accuracy,mean_sensitivity,mean_specificity,mean_balanced_accuracy,mean_f1
1,0.8036813186813186,0.08886936618223445,0.9876354026107822,0.5382523843965084,0.15376439037470824
2,0.7987362637362637,0.2829135787704663,0.931628469087089,0.6072710239287776,0.36327291264787115
3,0.7987362637362637,0.2829135787704663,0.931628469087089,0.6072710239287776,0.36327291264787115
4,0.7847802197802198,0.31244796736812963,0.9038358624386948,0.6081419149034123,0.3667499190779009
5,0.7889010989010989,0.3069160524745126,0.9111139213429276,0.60901498690872,0.36821114604612654
6,0.6931318681318681,0.596215748422412,0.7203044144089922,0.6582600814157021,0.43250616580707585
7,0.7027472527472527,0.5644054968607269,0.7417240621018228,0.653064779481275,0.42353853644820944
8,0.722032967032967,0.5118154816173943,0.7804542296553283,0.6461348556363613,0.4166039958227617
9,0.683076923076923,0.6551810225297,0.6910778657318889,0.6731294441307945,0.4550548279211406
10,0.6875274725274725,0.6256274273509739,0.7040805089378072,0.6648539681443905,0.4475704896645518
11,0.6752747252747253,0.6637297654773705,0.6791807155536835,0.671455240515527,0.452373346133784
12,0.6719780219780219,0.6725749415026928,0.6726679599691766,0.6726214507359347,0.4532344101390807
13,0.6907142857142857,0.6866697037585193,0.6926630572630237,0.6896663805107716,0.4738794713680798
14,0.6852747252747253,0.7353845049245823,0.6731088056116389,0.7042466552681106,0.48640531583646607
15,0.7008791208791209,0.7427731038234372,0.6904770480883959,0.7166250759559165,0.5009610088296402
16,0.7246703296703296,0.6841707046165642,0.736881414178922,0.710526059397743,0.4999155069431586
17,0.7637912087912088,0.6426591239219668,0.7950180438359984,0.7188385838789826,0.5242307352510932
18,0.7788461538461539,0.6937189871944021,0.8011072634405254,0.7474131253174637,0.5598693513482816
19,0.7664835164835165,0.7042414841518128,0.7830780410828474,0.74365976261733,0.5497009369723399
20,0.777967032967033,0.729836128373916,0.7907455084663403,0.7602908184201281,0.5715802752092276
21,0.775,0.7484496994998857,0.7823369529702191,0.7653933262350524,0.5744883387814341
22,0.7748351648351648,0.7480185424216699,0.7822713947688418,0.7651449685952558,0.574286983504453
23,0.7853846153846153,0.7343639147367431,0.7988490254319379,0.7666064700843405,0.5812979982425509
24,0.7818681318681319,0.7358057983628881,0.7940436406240401,0.7649247194934641,0.5774722573185413
25,0.7787362637362637,0.7439566278099907,0.7880605426720898,0.7660085852410403,0.5768067639441836
26,0.7889560439560439,0.7557421058662139,0.7979648449358044,0.7768534754010092,0.5924027893648276
27,0.7886263736263737,0.7556575746853206,0.7975176158617525,0.7765875952735366,0.5918959569819525
28,0.793021978021978,0.7550067462279817,0.8031508232742077,0.7790787847510947,0.5973246711849014
29,0.7883516483516484,0.7548312186058889,0.7975298231073417,0.7761805208566153,0.5915912310661698
30,0.7890659340659341,0.7530872602859262,0.798907908159564,0.7759975842227451,0.5918112107390757
31,0.788956043956044,0.752779654022039,0.7987158122547735,0.7757477331384062,0.5914928317446074
32,0.7868681318681319,0.7389704267869557,0.7994643058572216,0.7692173663220887,0.5852173195925653
33,0.7846153846153846,0.7347462259387332,0.7979232988692669,0.766334762404,0.5808234671187501
34,0.7906593406593406,0.7395472158672084,0.8043219901950178,0.771934603031113,0.5892229790728905
35,0.7963736263736264,0.7243769123241918,0.8151762684152161,0.7697765903697039,0.5909357397144661
36,0.8038461538461539,0.7213372966105805,0.8254041152717826,0.7733707059411816,0.5990854830711457
37,0.8095054945054945,0.7414588697363349,0.8272787858124417,0.7843688277743883,0.6125611855362982
38,0.8232417582417583,0.7526408717692096,0.8415326371524513,0.7970867544608304,0.6338620256504933
39,0.8216483516483516,0.7562019968860959,0.8384961178142256,0.7973490573501608,0.6325149893699217
40,0.8262087912087912,0.7540644212279656,0.8448902953532376,0.7994773582906016,0.6379343879078554
41,0.8248901098901099,0.7534425698898671,0.8434448993311815,0.7984437346105243,0.6359563184168275
42,0.8254395604395605,0.7478408978166323,0.8456405018724216,0.796740699844527,0.6349371839315586
43,0.8287362637362637,0.750578587539687,0.8489701067813753,0.7997743471605312,0.6405568711712172
44,0.8284065934065934,0.7517586178851585,0.84831510254856,0.8000368602168593,0.6404357317855989
45,0.8262637362637363,0.7465161043264034,0.8468916278089442,0.7967038660676737,0.635809710646696
46,0.8297802197802198,0.7582402159699068,0.8483481944256904,0.8032942051977986,0.6440029183665592
47,0.8335164835164836,0.7563087091854281,0.8535097690046655,0.8049092390950467,0.6488644344645195
48,0.8324175824175825,0.7584575457946672,0.8516301164796186,0.8050438311371428,0.6479776927209921
49,0.8335714285714285,0.7573186788493756,0.853366856204276,0.8053427675268258,0.6489148643225899
50,0.8379120879120879,0.7595617770754899,0.8579871424291245,0.8087744597523072,0.6557795155358518
51,0.8378571428571429,0.7518189028372492,0.8598213362124346,0.8058201195248419,0.6533410423519285
52,0.8375274725274725,0.7550149594796808,0.8585989388171548,0.8068069491484178,0.6537873870299336
53,0.8404945054945054,0.7598127457772096,0.8611000562870632,0.8104564010321363,0.6592554082833786
54,0.8439010989010989,0.7603353571646703,0.865345518729654,0.8128404379471622,0.6640053394621314
55,0.8434615384615385,0.7595898131195674,0.8650057155988319,0.8122977643591996,0.6630757071681389
56,0.8418681318681319,0.7593233724592519,0.8629486626639818,0.8111360175616169,0.6607453592973855
57,0.8430769230769231,0.7567178966939669,0.8653633248367395,0.8110406107653532,0.6618857556789366
58,0.8418681318681319,0.75317396422205,0.8648274074812332,0.8090006858516416,0.658850998522858
59,0.8425824175824176,0.7541906196327404,0.8653781518667509,0.8097843857497456,0.6601910152604213
60,0.8428021978021978,0.7546062096413536,0.8655873063672016,0.8100967580042776,0.6606428878254769
61,0.8421428571428572,0.7529435302155163,0.8652439084147865,0.8090937193151514,0.6591955024460442
62,0.8462087912087912,0.7568182644975043,0.8693951447973146,0.8131067046474094,0.6663128391318831
63,0.8491758241758242,0.7602923294367017,0.8722050686206253,0.8162486990286635,0.671377282254174
64,0.850989010989011,0.761824109046229,0.8740202827176462,0.8179221958819376,0.6749003206980797
65,0.8523076923076923,0.7632925374959141,0.8752455301969846,0.8192690338464493,0.6773397203695536
66,0.8488461538461538,0.7662038926267156,0.8702955561103685,0.818249724368542,0.6733215562828286
67,0.849010989010989,0.7656748764275775,0.8706768057210443,0.818175841074311,0.6734590813867329
68,0.8531868131868132,0.7648223481577151,0.8760734777793411,0.820447912968528,0.6795259639478811
69,0.852912087912088,0.7652304013005495,0.875596495793953,0.8204134485472513,0.6790991808969364
70,0.852912087912088,0.7650317304834576,0.8756720167423069,0.8203518736128822,0.6791504733843532
71,0.8528571428571429,0.7655161155862638,0.8754559497558365,0.8204860326710501,0.6792095390584785
72,0.851978021978022,0.759585621589363,0.8759313777101888,0.8177584996497759,0.676232975993155
73,0.8504395604395605,0.7588585096330309,0.8741327919558882,0.8164956507944595,0.6733594722347284
74,0.8484615384615385,0.7542899099849604,0.872846628531814,0.8135682692583872,0.6690164407078033
75,0.8480769230769231,0.7541026797736651,0.8724719527242191,0.8132873162489421,0.6686418015747987
76,0.848021978021978,0.7538946016031256,0.8724789063025687,0.8131867539528471,0.6685429888883734
77,0.8492857142857143,0.7590721298961299,0.87269299827702,0.8158825640865749,0.6717600694937274
78,0.8490659340659341,0.7589128040798274,0.8724843988366192,0.8156986014582234,0.6714122361585348
79,0.8478571428571429,0.755480370854342,0.8719475418009329,0.8137139563276374,0.6686801017587992
80,0.8493956043956044,0.7611567700040868,0.8723799898304447,0.8167683799172657,0.6724585999928893
81,0.8491758241758242,0.7583310948877603,0.8728987584771997,0.8156149266824799,0.671406028714411
82,0.8487362637362638,0.7550470999386448,0.8731593793372155,0.8141032396379302,0.6697223093190822
83,0.8486263736263736,0.753947054151099,0.8732978152810702,0.8136224347160846,0.6692344438395994
84,0.8484065934065934,0.7533082421631289,0.8731407600442661,0.8132245011036975,0.6685884429837095
85,0.8486263736263736,0.7549395763091822,0.8730690515349994,0.8140043139220908,0.6693658591537854
86,0.8488461538461538,0.7559883202009493,0.8730626958246259,0.8145255080127877,0.67001907392598
87,0.8487912087912088,0.7565233262435773,0.8728583296353475,0.8146908279394625,0.6701076504921867
88,0.8482417582417583,0.75722532252619,0.8718989858455632,0.8145621541858766,0.6694298949782125
89,0.8476923076923077,0.7557733660257534,0.8715544906402949,0.8136639283330241,0.6680473202204159
90,0.8563186813186813,0.7626465479719697,0.8804043172507557,0.8215254326113628,0.682596622053064
91,0.856978021978022,0.764038074238496,0.8808817974875828,0.8224599358630394,0.683998994637949
92,0.8569230769230769,0.7651485897489797,0.880538592225982,0.8228435909874808,0.6842268680247566
93,0.8570879120879121,0.765386684987075,0.8806833617585089,0.8230350233727919,0.684551067422831
