,rank,fingerprint
PubchemFP741,512,Oc1cc(S)ccc1 
PubchemFP308,513,O-H 
PubchemFP709,514,C-C(C)-C-C-C 
PubchemFP506,515,C-C:N:C 
PubchemFP507,516,C-C-S-C 
PubchemFP573,517,O-C-C=C 
PubchemFP476,518,C-O-C=C 
PubchemFP432,519,C(-C)(-C)(=O) 
PubchemFP610,520,C-O-C-O-C 
PubchemFP350,521,C(~C)(~I) 
PubchemFP22,522,>= 16 O 
PubchemFP352,523,C(~C)(~O) 
PubchemFP589,524,C-C:C-O-C 
PubchemFP482,525,C:N-C:C 
PubchemFP293,526,C-S 
PubchemFP661,527,O-C-O-C-C 
PubchemFP513,528,S:C:C-[#1] 
PubchemFP46,529,>= 1 I 
PubchemFP563,530,O-C-O-C 
PubchemFP298,531,C-I 
PubchemFP367,532,C(~H)(~O)(~O) 
PubchemFP556,533,C=C-C-C 
PubchemFP624,534,O=C-C:C-N 
PubchemFP807,535,OC1CC(Br)CCC1 
PubchemFP602,536,O=C-C-N-C 
PubchemFP521,537,C:N-C-[#1] 
PubchemFP34,538,>= 2 S 
PubchemFP490,539,C-C-C=C 
PubchemFP375,540,C(~N)(~N) 
PubchemFP744,541,Oc1cc(Br)ccc1 
PubchemFP570,542,C:C-C-C 
PubchemFP481,543,O-S-C:C 
PubchemFP130,544,>= 1 saturated or aromatic carbon-only ring size 4 
PubchemFP503,545,Cl-C:C-[#1] 
PubchemFP422,546,N=N 
PubchemFP345,547,C(~C)(~H)(~N) 
PubchemFP622,548,O=C-O-C:C 
PubchemFP614,549,C-C-O-C-C 
PubchemFP183,550,>= 1 unsaturated non-aromatic nitrogen-containing ring size 6 
PubchemFP10,551,>= 4 C 
PubchemFP416,552,C=C 
PubchemFP441,553,C(-C)(=C) 
PubchemFP9,554,>= 2 C 
PubchemFP332,555,C(~C)(~C) 
PubchemFP428,556,C(#C)(-H) 
PubchemFP284,557,C-C 
PubchemFP683,558,N-C-C-C-C-C 
PubchemFP592,559,N-C-C-C-C 
PubchemFP8,560,>= 4 B 
PubchemFP7,561,>= 2 B 
PubchemFP6,562,>= 1 B 
PubchemFP5,563,>= 2 Li 
PubchemFP4,564,>= 1 Li 
PubchemFP853,565,SC1CC(Br)CC1 
PubchemFP852,566,SC1CC(Cl)CC1 
PubchemFP848,567,OC1CC(Cl)CC1 
PubchemFP858,568,ClC1CC(Br)CC1 
PubchemFP859,569,BrC1CC(Br)CC1 
PubchemFP561,570,Cl-C-C=O 
PubchemFP47,571,>= 2 I 
PubchemFP856,572,NC1CC(Br)CC1 
PubchemFP54,573,>= 1 Ti 
PubchemFP855,574,NC1CC(Cl)CC1 
PubchemFP847,575,OC1CC(N)CC1 
PubchemFP27,576,>= 2 Na 
PubchemFP861,577,CC1C(O)CCC1 
PubchemFP56,578,>= 1 Cr 
PubchemFP851,579,SC1CC(N)CC1 
PubchemFP55,580,>= 1 V 
PubchemFP857,581,ClC1CC(Cl)CC1 
PubchemFP789,582,SC1CCC(Cl)CC1 
PubchemFP30,583,>= 1 P 
PubchemFP41,584,>= 1 K 
PubchemFP42,585,>= 2 K 
PubchemFP850,586,SC1CC(S)CC1 
PubchemFP57,587,>= 1 Mn 
PubchemFP849,588,OC1CC(Br)CC1 
PubchemFP207,589,>= 5 saturated or aromatic carbon-only ring size 6 
PubchemFP40,590,>= 8 Cl 
PubchemFP26,591,>= 1 Na 
PubchemFP58,592,>= 1 Fe 
PubchemFP348,593,C(~C)(~H)(~P) 
PubchemFP280,594,B-S 
PubchemFP60,595,>= 1 Ni 
PubchemFP314,596,O-P 
PubchemFP315,597,O-K 
PubchemFP49,598,>= 1 Be 
PubchemFP205,599,>= 4 unsaturated non-aromatic heteroatom-containing ring size 6 
PubchemFP52,600,>= 1 Ca 
PubchemFP50,601,>= 1 Mg 
PubchemFP316,602,F-P 
PubchemFP317,603,F-S 
PubchemFP28,604,>= 1 Si 
PubchemFP29,605,>= 2 Si 
PubchemFP320,606,Si-H
PubchemFP845,607,OC1CC(O)CC1 
PubchemFP61,608,>= 1 Cu 
PubchemFP413,609,S(~C)(~H) 
PubchemFP31,610,>= 2 P 
PubchemFP32,611,>= 4 P 
