model,random_state,accuracy,sensitivity,specificity,balanced_accuracy,f1,PubchemFP646_gini/coefs,PubchemFP758_gini/coefs,PubchemFP580_gini/coefs,PubchemFP504_gini/coefs,PubchemFP385_gini/coefs,PubchemFP697_gini/coefs,PubchemFP528_gini/coefs,PubchemFP499_gini/coefs,PubchemFP391_gini/coefs,PubchemFP338_gini/coefs,PubchemFP405_gini/coefs,PubchemFP399_gini/coefs,PubchemFP647_gini/coefs,PubchemFP23_gini/coefs,PubchemFP716_gini/coefs,PubchemFP186_gini/coefs,PubchemFP439_gini/coefs,PubchemFP150_gini/coefs,PubchemFP621_gini/coefs,PubchemFP812_gini/coefs,PubchemFP712_gini/coefs,PubchemFP3_gini/coefs,PubchemFP673_gini/coefs,PubchemFP261_gini/coefs,PubchemFP386_gini/coefs,PubchemFP378_gini/coefs,PubchemFP689_gini/coefs,PubchemFP374_gini/coefs,PubchemFP363_gini/coefs,PubchemFP152_gini/coefs,PubchemFP308_gini/coefs,PubchemFP611_gini/coefs,PubchemFP494_gini/coefs,PubchemFP527_gini/coefs,PubchemFP258_gini/coefs
1,655,0.8626373626373627,0.6341463414634146,0.9290780141843972,0.7816121778239059,0.6753246753246753,0.04218806573404319,0.03087205840634958,0.03456454320148705,0.02600828348465786,0.03049038154007863,0.031233673390956042,0.030646824433657727,0.024239691364865024,0.03667281615635743,0.0367961226924968,0.033942622638309015,0.02267252896570591,0.02069281016127509,0.0318377636754857,0.023931079188891168,0.031077171309208236,0.037340275299016096,0.02330180769441548,0.029432629096569244,0.019141308643429215,0.02712981499290476,0.04229343830764068,0.030050465665421383,0.027476210817179086,0.026036436824688244,0.029319360793433273,0.02747595966869738,0.02576185580813953,0.02603753074061497,0.02424288720259338,0.022748249353814004,0.02573245827427853,0.021454894725622627,0.02233100559904913,0.024826974148668555
2,115,0.8406593406593407,0.6382978723404256,0.9111111111111111,0.7747044917257684,0.6741573033707866,0.040014716403566464,0.030684625668538183,0.030684569561953513,0.029153744962927795,0.025397039869899333,0.030545596012314827,0.030665681581688854,0.025932792283849787,0.03791657440845626,0.04446843962791598,0.030344378761371426,0.020322127295454146,0.019985698721506833,0.030166560578640166,0.02967827669641338,0.03653194211809451,0.03718781417868445,0.025846010185321323,0.030520718188518658,0.024600736013440875,0.02956052663383015,0.025575288154527323,0.029041583624737206,0.03172298280848094,0.0274464953165884,0.029954402059744967,0.02876402608971036,0.027190086413035202,0.01973783273993279,0.021566155930901613,0.02745913559380575,0.030742487973459104,0.014221389291604986,0.021958297012879217,0.024411267238205255
3,26,0.8461538461538461,0.5714285714285714,0.9115646258503401,0.7414965986394557,0.588235294117647,0.04371570053108351,0.030145459861255736,0.03032789409585809,0.031233225661994955,0.02499458082238547,0.02894708238127299,0.03298258810763223,0.02467820848214644,0.033454533103554306,0.03454762329683741,0.028567505491487344,0.018786965876843264,0.024351408945787495,0.029675132132636034,0.02773988912018059,0.03462009178855152,0.04138162430662886,0.025030707498950137,0.030924484043409636,0.02770842827454616,0.03024872282857884,0.040134949823715356,0.028535872517565716,0.031972748723343804,0.03059625797201509,0.027632327688920464,0.027417199257304885,0.025232711917041843,0.019516637846646253,0.02296951033225033,0.01975885592347633,0.024957896729571775,0.020172513793186634,0.02007484997675999,0.026965810846580545
4,760,0.8516483516483516,0.6,0.9115646258503401,0.7557823129251701,0.608695652173913,0.03876765584559991,0.030020313827788806,0.02881581853274521,0.02412106866224555,0.02436013839898971,0.03169946634307077,0.04079505026492667,0.025591312320788775,0.0298173938544492,0.03911999330640368,0.03380854218971251,0.022130690995181182,0.0209706443269762,0.032865056392973345,0.027812851025975572,0.035033769387039226,0.03773947629097289,0.027241872541182776,0.03252080094198585,0.023590586448931437,0.028536812231619208,0.03894582671586437,0.029594173136084055,0.03108049875742995,0.02792398108738224,0.02810752610139073,0.028942593392156546,0.028893727904290456,0.02525303741284274,0.018515086662718488,0.02234633174099925,0.026150167394388055,0.012483171766443278,0.019913391333263843,0.02649117246518754
5,282,0.8571428571428571,0.6511627906976745,0.920863309352518,0.7860130500250962,0.6829268292682927,0.0410843862124345,0.03005003300547048,0.027387802251649548,0.027362974868095316,0.03090157946463851,0.029527096922553776,0.02752671875241223,0.027146461098770894,0.038582543135711925,0.03547747191048897,0.04204258932890797,0.01986692486543486,0.023079768396407314,0.032550407309069745,0.030660125572521534,0.0300208500013465,0.03343300569404051,0.021828354663781906,0.03723063960991575,0.022545773910517087,0.026949857459006944,0.028147336037651165,0.028660162012632495,0.030081897951324224,0.028956501387320817,0.02766267465449558,0.0330316425361099,0.026487071260199502,0.020798383945479258,0.020394818848677793,0.02672990666599969,0.02351634792075598,0.019314548650460756,0.02250482509149066,0.028458518604225765
6,251,0.8626373626373627,0.5641025641025641,0.9440559440559441,0.754079254079254,0.6376811594202899,0.03640577311678599,0.03085874650414738,0.027104287382077822,0.030979642110532786,0.027754221986408145,0.029084917733266408,0.031008812886061117,0.029235525415676707,0.036525608355727296,0.034944894588000666,0.03969197457712375,0.02302426068743217,0.020346082069477,0.034347552626833804,0.030240142597704318,0.03527031968636491,0.030904719777030364,0.023325888066673833,0.027599818233892456,0.02101565764380592,0.03623107207004645,0.025036713415111052,0.032252804939485326,0.031004101593282082,0.026894204604927193,0.028934294229604453,0.027210358677843122,0.024890409539733874,0.020672194197090887,0.022915660570269482,0.0277992751416736,0.027547568222132664,0.02226117839033346,0.021415474816778166,0.02526584354666521
7,229,0.7967032967032966,0.56,0.8863636363636364,0.7231818181818181,0.6021505376344087,0.04765773318963401,0.023847084825039323,0.02538574880726682,0.027526768378870206,0.02295690442509961,0.03448158881791173,0.030482951707704552,0.02760015200770137,0.04140738590604731,0.03237851733459165,0.042892037680271555,0.022104718808479588,0.02160039538308239,0.03152989257001291,0.025827901457353718,0.03867501826127913,0.035322718663313844,0.026299798208590117,0.03554030221562108,0.01935839466841753,0.026000177724269796,0.03506993015529721,0.028858520120078876,0.02406136263508364,0.026267053645976972,0.029922920386560813,0.025295982625596715,0.026403248970653083,0.020936117676551475,0.024284794321049387,0.026533148829803385,0.030061876781711162,0.0160061784025407,0.02035023980517029,0.02707243460336806
8,143,0.8571428571428571,0.6818181818181818,0.9130434782608695,0.7974308300395256,0.6976744186046512,0.03376643916054063,0.02984732450727556,0.025989527652065015,0.030100163835088102,0.025319454416972285,0.028523199240234373,0.03259266378214902,0.02743322455832272,0.037282708571067455,0.033589249757220684,0.040086283204729865,0.025310234108886474,0.0216636997446582,0.03126262139081845,0.029662154994782156,0.032198684008677196,0.03775363992896532,0.02478146840413182,0.035332197467492416,0.02126117782362145,0.03135631111922297,0.025795714458865637,0.02738319373590147,0.02766648334157399,0.026717082622099483,0.031944935643990806,0.03002199063189764,0.031002484744206384,0.023402214783193088,0.023864088885487016,0.024365569241381783,0.027693514951213877,0.01389680657341249,0.02101659098736532,0.030116901722488838
9,755,0.8681318681318682,0.7142857142857143,0.9047619047619048,0.8095238095238095,0.6756756756756757,0.04266236396654548,0.033369613738849106,0.03435867454957785,0.028165551590534257,0.02510325278251987,0.02815986273624544,0.0340248586890816,0.023699692758093468,0.030859242586940366,0.03888930409785366,0.031091531446537958,0.022961868810702155,0.023012988933571493,0.03315772499017326,0.027269041953752956,0.03717983611050401,0.03901748491816767,0.023080104926781145,0.03033371728787694,0.021624859901890402,0.03144511964949341,0.024269260035009635,0.03179144058438831,0.028041598819459442,0.02562847521984884,0.030349911515708948,0.029921536628341898,0.02885847274116702,0.02203980262126549,0.02100013425076531,0.022694020877665446,0.02794059687635145,0.021085517861073867,0.022781638718411112,0.024130896824850673
10,105,0.8406593406593407,0.6304347826086957,0.9117647058823529,0.7710997442455243,0.6666666666666667,0.03914622070766463,0.03295344330319751,0.03152365054972333,0.029565052829358014,0.02951712827000115,0.027247516186096287,0.032369324333145,0.02401985251450968,0.038291048498998635,0.034498535704944926,0.03326933628332506,0.02624656248076766,0.02226781750264047,0.03292142101140286,0.021608780873448686,0.03435143013712441,0.03453664023958506,0.025689108910274844,0.027346750590566533,0.021218860561599488,0.03397504055742095,0.021429781168827162,0.03366267495713692,0.028983491270883732,0.027780176136218852,0.03458261471417177,0.027563539592767694,0.02662311174269936,0.019305877129259526,0.028593322158449223,0.02446714712157163,0.027706793276448538,0.013860912277171514,0.022350055450153773,0.030526980958445245
