num_features,mean_accuracy,mean_sensitivity,mean_specificity,mean_balanced_accuracy,mean_f1
1,0.8022527472527472,0.08085254245717903,0.9880707944952292,0.5344616684762041,0.14029148292862267
2,0.7915384615384615,0.08699569396593927,0.9744367545271411,0.5307162242465402,0.13216722432211753
3,0.7913186813186813,0.08905451749535104,0.9736935112838978,0.5313740143896244,0.13418196633685953
4,0.7944505494505495,0.15750839672436892,0.9591574326064238,0.5583329146653964,0.22504724174022525
5,0.7931318681318681,0.14983573375951695,0.9595390188886723,0.5546873763240946,0.2140723804293316
6,0.8010989010989011,0.16218610431877936,0.9660265876953472,0.5641063460070633,0.24293643092705663
7,0.7989560439560439,0.17374758806385227,0.9605923151042881,0.5671699515840702,0.2534729750522015
8,0.7983516483516483,0.1686974922013994,0.9613682401487933,0.5650328661750964,0.24633293393252148
9,0.7985164835164835,0.1885862708020109,0.9562190247955806,0.5724026477987958,0.2717237249171406
10,0.7968131868131868,0.1908719771429394,0.9533233776923284,0.572097677417634,0.27303289727512736
11,0.8015384615384615,0.2070337489292169,0.9553296197935292,0.5811816843613731,0.2938252699617474
12,0.800989010989011,0.2087628785581076,0.9541379160393639,0.5814503972987358,0.2951768638314875
13,0.800054945054945,0.2121147814412944,0.9518190615282531,0.5819669214847738,0.29882708281411496
14,0.8045054945054945,0.22816461709144936,0.9535405385379364,0.5908525778146929,0.3187192518876356
15,0.8066483516483517,0.22694856576466202,0.9562684070375679,0.591608486401115,0.32074941441356736
16,0.8046703296703297,0.1853027806309692,0.9646556529864799,0.5749792168087245,0.27405057293210855
17,0.8078571428571428,0.19660908969689478,0.965974806136097,0.5812919479164959,0.29014982798935096
18,0.8203296703296703,0.23033940730271724,0.972864159263908,0.6016017832833127,0.3398554608337703
19,0.8176923076923077,0.23535723401558875,0.9681501088143517,0.6017536714149703,0.34217450222641105
20,0.8383516483516483,0.3170911195518153,0.9730057048123706,0.645048412182093,0.44248947063044536
21,0.8411538461538461,0.3266680999451908,0.9741184758603915,0.6503932879027912,0.45422355374280676
22,0.8406593406593407,0.32523079549264244,0.973850001222214,0.6495403983574283,0.45245151760164143
23,0.8387362637362638,0.3227282309337671,0.972050585686107,0.6473894083099371,0.4473331338016632
24,0.8437912087912088,0.3326197970321604,0.9757693075126044,0.6541945522723824,0.4620064481472298
25,0.8451098901098901,0.3381181753442985,0.9760481251057077,0.6570831502250031,0.46773128564950983
26,0.8464285714285714,0.3388424536622108,0.977487832045489,0.6581651428538499,0.4707569620244503
27,0.8458791208791209,0.3379910654612637,0.9770751913295173,0.6575331283953905,0.46933408284065675
28,0.8440659340659341,0.33478611856595397,0.9755374144360456,0.6551617665009998,0.4640920698997329
29,0.8480769230769231,0.3451303571489036,0.9781308414096845,0.6616305992792941,0.4778152659114228
30,0.8484065934065934,0.34715958395970936,0.9779837116779083,0.6625716478188088,0.4798536288641565
31,0.8460989010989011,0.3476538781306566,0.9750275378103976,0.6613407079705271,0.4760594038799426
32,0.8525824175824176,0.3892722283816276,0.972763115622832,0.6810176720022298,0.5151808359091877
33,0.855934065934066,0.4067077334071708,0.9725149996828024,0.6896113665449866,0.5312016826779244
34,0.8584615384615385,0.4286469012917265,0.970002935405051,0.6993249183483888,0.5493596431632054
35,0.8622527472527473,0.45253443942549904,0.9684720867028029,0.710503263064151,0.5693824230286155
36,0.8597252747252747,0.4419669762020173,0.9679806347712027,0.70497380548661,0.5591658685372113
37,0.861043956043956,0.45156760701143617,0.9673116246281508,0.7094396158197935,0.5667878842192176
38,0.8592857142857143,0.4326857726310512,0.9699725659993882,0.7013291693152197,0.5533672558114073
39,0.8623626373626374,0.44276116351036515,0.9712024229783808,0.7069817932443729,0.5647013147065286
40,0.8641208791208791,0.44435610858326763,0.9730469161484744,0.708701512365871,0.5684659798234326
41,0.8643956043956044,0.44452706269402453,0.9733243146760312,0.7089256886850278,0.569027458068851
42,0.8658791208791209,0.44607769527504254,0.9747028630010666,0.7103902791380545,0.5725774478256255
43,0.8661538461538462,0.44191901001184686,0.9762040937042404,0.7090615518580436,0.5709930824626657
44,0.8668131868131868,0.4464789870879314,0.9757814062759032,0.7111301966819172,0.574850905142789
45,0.8665384615384616,0.44717238407433957,0.9752272932110365,0.711199838642688,0.5744015283962184
46,0.8669230769230769,0.44941743114629035,0.9751220000834359,0.7122697156148631,0.5766423436245497
47,0.8682417582417582,0.4481513564449845,0.9771187379185389,0.7126350471817617,0.5781622412832987
48,0.8703296703296703,0.45140568295179617,0.9788756989046474,0.7151406909282217,0.5839168815146273
49,0.8720329670329671,0.45706177842448614,0.9794956803363696,0.7182787293804278,0.5899082472377706
50,0.8706593406593407,0.4621523095857682,0.976498395193643,0.7193253523897056,0.5903492532954531
51,0.8727472527472527,0.4674534364778856,0.9777668519895496,0.7226101442337176,0.5967114032141078
52,0.873021978021978,0.46909907065024575,0.9776302426689222,0.7233646566595839,0.5980705225055236
53,0.8732417582417582,0.4699799212107384,0.9776446415857499,0.7238122813982442,0.5989243302087196
54,0.8757142857142857,0.4829196902667504,0.9774147455140064,0.7301672178903784,0.6101088599852955
55,0.8753846153846154,0.48695588381133276,0.975987431188474,0.7314716574999034,0.611303890003188
56,0.8756043956043956,0.4825327544439481,0.9772810461078419,0.729906900275895,0.6098536472310332
57,0.8765934065934066,0.4869276358653458,0.9774193680344005,0.7321735019498732,0.61389871533569
58,0.8784615384615384,0.4906592434538469,0.9787407487386843,0.7346999960962656,0.6196004437219664
59,0.8772527472527473,0.4868107136317727,0.9780987239044737,0.7324547187681232,0.6157599199439295
60,0.8773076923076923,0.48790917765491604,0.9778864356930849,0.7328978066740004,0.6163808786129457
61,0.8770329670329671,0.4862967633284242,0.9779538300917973,0.7321252967101107,0.6151434605497116
62,0.8797802197802198,0.5013772516825844,0.9777313641990938,0.7395543079408391,0.6277902803507464
63,0.880989010989011,0.508652207989396,0.9773654747243529,0.7430088413568745,0.6334117513562523
64,0.8814285714285715,0.5070824607205436,0.9781794042967413,0.7426309325086425,0.6334583865752952
65,0.880934065934066,0.5076876886636319,0.977345984305145,0.7425168364843885,0.6329274815733003
66,0.8841208791208791,0.5191620964585731,0.9786193806922553,0.7488907385754142,0.6443998490259997
67,0.8846153846153846,0.5221300163789508,0.9784876349789929,0.750308825678972,0.6467694158908892
68,0.8842307692307693,0.523233412247788,0.9777341828917628,0.7504837975697753,0.6464329452930213
69,0.8847802197802198,0.5242250236080371,0.9781419269321527,0.7511834752700949,0.647883450946736
70,0.8849450549450549,0.5275525540094389,0.9775279196445156,0.7525402368269772,0.6495711023371934
71,0.8852197802197802,0.5274088663017977,0.9779332835663924,0.7526710749340951,0.6500971708569652
72,0.8840109890109891,0.527283252128611,0.9764738415011092,0.7518785468148601,0.6472833102519229
