model,random_state,accuracy,sensitivity,specificity,balanced_accuracy
80,197,0.9395604395604396,0.72,0.9745222929936306,0.8472611464968153
17,433,0.9230769230769231,0.7142857142857143,0.9727891156462585,0.8435374149659864
54,390,0.9230769230769231,0.625,0.9866666666666667,0.8058333333333334
93,390,0.9230769230769231,0.625,0.9866666666666667,0.8058333333333334
44,433,0.9230769230769231,0.7142857142857143,0.9727891156462585,0.8435374149659864
14,559,0.9175824175824175,0.6111111111111112,0.9931506849315068,0.802130898021309
31,559,0.9175824175824175,0.6111111111111112,0.9931506849315068,0.802130898021309
38,891,0.9175824175824175,0.6071428571428571,0.974025974025974,0.7905844155844155
77,883,0.9175824175824175,0.6896551724137931,0.9607843137254902,0.8252197430696417
78,371,0.9120879120879121,0.6176470588235294,0.9797297297297297,0.7986883942766296
49,981,0.9065934065934066,0.5185185185185185,0.9741935483870968,0.7463560334528077
63,748,0.9065934065934066,0.6111111111111112,0.9794520547945206,0.7952815829528159
68,945,0.9065934065934066,0.625,0.9666666666666667,0.7958333333333334
66,128,0.9065934065934066,0.6388888888888888,0.9726027397260274,0.8057458143074581
81,722,0.9065934065934066,0.6666666666666666,0.9483870967741935,0.8075268817204301
15,90,0.9065934065934066,0.675,0.971830985915493,0.8234154929577465
58,353,0.9010989010989011,0.5714285714285714,1.0,0.7857142857142857
20,96,0.9010989010989011,0.6060606060606061,0.9664429530201343,0.7862517795403702
98,374,0.9010989010989011,0.4666666666666667,0.9868421052631579,0.7267543859649123
50,782,0.9010989010989011,0.6904761904761905,0.9642857142857143,0.8273809523809523
12,759,0.9010989010989011,0.46875,0.9933333333333333,0.7310416666666666
39,7,0.9010989010989011,0.6052631578947368,0.9791666666666666,0.7922149122807017
70,81,0.8956043956043956,0.6,0.9659863945578231,0.7829931972789115
18,33,0.8956043956043956,0.5897435897435898,0.9790209790209791,0.7843822843822844
32,430,0.8956043956043956,0.5789473684210527,0.9791666666666666,0.7790570175438596
62,45,0.8956043956043956,0.5428571428571428,0.9795918367346939,0.7612244897959184
53,95,0.8956043956043956,0.6216216216216216,0.9655172413793104,0.793569431500466
64,471,0.8956043956043956,0.6857142857142857,0.9455782312925171,0.8156462585034014
45,349,0.8901098901098901,0.45161290322580644,0.9801324503311258,0.7158726767784661
71,566,0.8901098901098901,0.55,0.9859154929577465,0.7679577464788733
48,221,0.8901098901098901,0.7058823529411765,0.9324324324324325,0.8191573926868045
43,715,0.8901098901098901,0.7567567567567568,0.9241379310344827,0.8404473438956197
41,826,0.8901098901098901,0.5161290322580645,0.9668874172185431,0.7415082247383038
57,868,0.8901098901098901,0.5151515151515151,0.9731543624161074,0.7441529387838113
33,226,0.8901098901098901,0.6571428571428571,0.9455782312925171,0.8013605442176871
25,28,0.8901098901098901,0.6071428571428571,0.9415584415584416,0.7743506493506493
24,617,0.8901098901098901,0.6216216216216216,0.9586206896551724,0.790121155638397
83,47,0.8901098901098901,0.4864864864864865,0.993103448275862,0.7397949673811743
19,31,0.8901098901098901,0.6842105263157895,0.9444444444444444,0.814327485380117
16,605,0.8901098901098901,0.6341463414634146,0.9645390070921985,0.7993426742778066
84,678,0.8901098901098901,0.6046511627906976,0.9784172661870504,0.791534214488874
11,693,0.8846153846153846,0.5681818181818182,0.9855072463768116,0.7768445322793149
55,100,0.8846153846153846,0.5526315789473685,0.9722222222222222,0.7624269005847953
99,167,0.8846153846153846,0.475,1.0,0.7375
94,285,0.8846153846153846,0.5588235294117647,0.9594594594594594,0.7591414944356121
89,876,0.8846153846153846,0.5609756097560976,0.9787234042553191,0.7698495070057083
9,755,0.8846153846153846,0.5714285714285714,0.9591836734693877,0.7653061224489796
46,285,0.8846153846153846,0.5588235294117647,0.9594594594594594,0.7591414944356121
13,914,0.8846153846153846,0.5882352941176471,0.9527027027027027,0.7704689984101749
36,285,0.8846153846153846,0.5588235294117647,0.9594594594594594,0.7591414944356121
28,734,0.8846153846153846,0.625,0.94,0.7825
79,592,0.8791208791208791,0.5588235294117647,0.9527027027027027,0.7557631160572338
90,239,0.8791208791208791,0.47058823529411764,0.972972972972973,0.7217806041335453
75,634,0.8791208791208791,0.6,0.9455782312925171,0.7727891156462585
69,388,0.8791208791208791,0.4230769230769231,0.9551282051282052,0.6891025641025641
60,271,0.8791208791208791,0.5897435897435898,0.958041958041958,0.7738927738927739
51,345,0.8791208791208791,0.6216216216216216,0.9448275862068966,0.7832246039142591
100,380,0.8791208791208791,0.5,0.9791666666666666,0.7395833333333333
22,239,0.8791208791208791,0.47058823529411764,0.972972972972973,0.7217806041335453
34,460,0.8791208791208791,0.6046511627906976,0.9640287769784173,0.7843399698845575
8,143,0.8736263736263736,0.5909090909090909,0.9637681159420289,0.7773386034255599
3,26,0.8736263736263736,0.4857142857142857,0.9659863945578231,0.7258503401360544
86,792,0.8736263736263736,0.6511627906976745,0.9424460431654677,0.7968044169315711
65,550,0.8736263736263736,0.6,0.9276315789473685,0.7638157894736842
74,644,0.8736263736263736,0.5789473684210527,0.9513888888888888,0.7651681286549707
72,301,0.8736263736263736,0.4864864864864865,0.9724137931034482,0.7294501397949673
40,778,0.8736263736263736,0.5945945945945946,0.9448275862068966,0.7697110904007456
27,204,0.8681318681318682,0.5227272727272727,0.9782608695652174,0.7504940711462451
30,719,0.8681318681318682,0.4878048780487805,0.9787234042553191,0.7332641411520497
6,251,0.8681318681318682,0.48717948717948717,0.972027972027972,0.7296037296037295
42,164,0.8681318681318682,0.5625,0.9333333333333333,0.7479166666666667
47,160,0.8681318681318682,0.5813953488372093,0.9568345323741008,0.769114940605655
4,760,0.8681318681318682,0.42857142857142855,0.9727891156462585,0.7006802721088435
56,368,0.8626373626373627,0.5428571428571428,0.9387755102040817,0.7408163265306122
95,465,0.8626373626373627,0.5,0.9459459459459459,0.722972972972973
85,234,0.8626373626373627,0.47368421052631576,0.9652777777777778,0.7194809941520468
88,82,0.8571428571428571,0.4857142857142857,0.9455782312925171,0.7156462585034014
96,651,0.8571428571428571,0.475,0.9647887323943662,0.719894366197183
23,518,0.8571428571428571,0.46153846153846156,0.965034965034965,0.7132867132867133
1,655,0.8571428571428571,0.5609756097560976,0.9432624113475178,0.7521190105518076
29,666,0.8571428571428571,0.5384615384615384,0.9440559440559441,0.7412587412587412
73,850,0.8571428571428571,0.5526315789473685,0.9375,0.7450657894736843
35,604,0.8571428571428571,0.47619047619047616,0.9714285714285714,0.7238095238095238
37,829,0.8516483516483516,0.5,0.9507042253521126,0.7253521126760563
97,855,0.8516483516483516,0.45,0.9647887323943662,0.7073943661971831
2,115,0.8516483516483516,0.5319148936170213,0.9629629629629629,0.747438928289992
