,rank,fingerprint
PubchemFP667,211,C=C-C-O-[#1] 
PubchemFP342,212,C(~C)(~Cl) 
PubchemFP708,213,C-C(C)-C-C 
PubchemFP12,214,>= 16 C 
PubchemFP447,215,C(-H)(=N) 
PubchemFP759,216,Cc1c(Cl)cccc1 
PubchemFP337,217,C(~C)(~C)(~C)(~O) 
PubchemFP742,218,Oc1cc(N)ccc1 
PubchemFP660,219,C-C=C-C-C 
PubchemFP486,220,N-C:N:N 
PubchemFP352,221,C(~C)(~O) 
PubchemFP333,222,C(~C)(~C)(~C) 
PubchemFP37,223,>= 1 Cl 
PubchemFP513,224,S:C:C-[#1] 
PubchemFP626,225,C-O-C:C-C 
PubchemFP179,226,>= 1 saturated or aromatic carbon-only ring size 6 
PubchemFP756,227,Cc1c(O)cccc1 
PubchemFP560,228,N-C-N-C 
PubchemFP714,229,Cc1ccc(O)cc1 
PubchemFP501,230,Cl-C:C-C 
PubchemFP620,231,C:C-O-C-C 
PubchemFP798,232,CC1CC(O)CCC1 
PubchemFP299,233,N-H 
PubchemFP589,234,C-C:C-O-C 
PubchemFP298,235,C-I 
PubchemFP703,236,O-C-C-C-C-C(N)-C 
PubchemFP543,237,O-C:C-N 
PubchemFP830,238,SC1C(N)CCCC1 
PubchemFP640,239,C=C-C-C-C 
PubchemFP286,240,C-O 
PubchemFP735,241,Cc1cc(O)ccc1 
PubchemFP373,242,C(~H)(:N) 
PubchemFP676,243,N#C-C-C-C 
PubchemFP532,244,S-C:C-[#1] 
PubchemFP801,245,CC1CC(Cl)CCC1 
PubchemFP379,246,C(~N)(:N) 
PubchemFP334,247,C(~C)(~C)(~C)(~C) 
PubchemFP18,248,>= 1 O 
PubchemFP655,249,O-C-C-C:C 
PubchemFP414,250,S(~C)(~O) 
PubchemFP636,251,C-N-C-N-C 
PubchemFP484,252,N-C:N:C 
PubchemFP180,253,>= 1 saturated or aromatic nitrogen-containing ring size 6 
PubchemFP691,254,O-C-C-C-C-C-N 
PubchemFP770,255,Nc1c(N)cccc1 
PubchemFP377,256,C(~N)(:C)(:C) 
PubchemFP465,257,O=S-C-C 
PubchemFP805,258,OC1CC(N)CCC1 
PubchemFP550,259,Cl-C-C-C 
PubchemFP356,260,C(~C)(:C)(:C) 
PubchemFP634,261,C-C-C:C-C 
PubchemFP331,262,C(~Br)(:N) 
PubchemFP466,263,N#C-C=C 
PubchemFP336,264,C(~C)(~C)(~C)(~N) 
PubchemFP546,265,N-C:C-[#1] 
PubchemFP506,266,C-C:N:C 
PubchemFP542,267,O-C:C-[#1] 
PubchemFP598,268,Cl-C:C:C-C 
PubchemFP412,269,S(~C)(~C) 
PubchemFP541,270,O-C:C-C 
PubchemFP482,271,C:N-C:C 
PubchemFP193,272,>= 3 saturated or aromatic carbon-only ring size 6 
PubchemFP606,273,O-C:C-C-C 
PubchemFP421,274,C=S 
PubchemFP751,275,Nc1cc(Br)ccc1 
PubchemFP38,276,>= 2 Cl 
PubchemFP472,277,C:N:C-C 
PubchemFP453,278,N(-C)(=C) 
PubchemFP533,279,S-C:C-N 
PubchemFP476,280,C-O-C=C 
PubchemFP305,281,N-S 
PubchemFP658,282,C-C-S-C-C 
PubchemFP678,283,C-C-C=C-C 
PubchemFP803,284,OC1CC(O)CCC1 
PubchemFP575,285,O-C-C:C-O 
PubchemFP380,286,C(~O)(~O) 
PubchemFP497,287,O-C:C:N 
PubchemFP599,288,[#1]-C-C=C-[#1] 
PubchemFP480,289,C:S:C-C 
PubchemFP814,290,NC1CC(Br)CCC1 
PubchemFP483,291,N-S-C:C 
PubchemFP573,292,O-C-C=C 
PubchemFP834,293,NC1C(Cl)CCCC1 
PubchemFP767,294,Sc1c(N)cccc1 
PubchemFP679,295,C-C-C-C-C-C 
PubchemFP159,296,>= 3 saturated or aromatic nitrogen-containing ring size 5 
PubchemFP833,297,NC1C(N)CCCC1 
PubchemFP498,298,O-C=C-C 
PubchemFP430,299,C(-C)(-C)(=C) 
PubchemFP763,300,Oc1c(N)cccc1 
PubchemFP427,301,C(#C)(-C) 
PubchemFP738,302,Cc1cc(Cl)ccc1 
PubchemFP635,303,N-N-C-N-[#1] 
PubchemFP642,304,O-C-C-C=O 
PubchemFP690,305,O-C-C-C-C-C-O 
PubchemFP740,306,Oc1cc(O)ccc1 
PubchemFP771,307,Nc1c(Cl)cccc1 
PubchemFP437,308,C(-C)(-N)(=C) 
PubchemFP863,309,CC1C(N)CCC1 
PubchemFP717,310,Cc1ccc(Cl)cc1 
PubchemFP330,311,C(~Br)(:C) 
PubchemFP471,312,S:C:C:C 
PubchemFP842,313,CC1CC(N)CC1 
PubchemFP46,314,>= 1 I 
PubchemFP201,315,>= 4 saturated or aromatic nitrogen-containing ring size 6 
PubchemFP417,316,C#C 
PubchemFP475,317,S-C=N-C 
PubchemFP202,318,>= 4 saturated or aromatic heteroatom-containing ring size 6 
PubchemFP502,319,N-C=C-[#1] 
PubchemFP618,320,C:C-C-C:C 
PubchemFP514,321,O-N-C-C 
PubchemFP478,322,S-C=N-[#1] 
PubchemFP395,323,N(~C)(~O) 
PubchemFP662,324,O-C-C-O-C 
PubchemFP826,325,OC1C(N)CCCC1 
PubchemFP701,326,O-C-C-C-C-C(O)-C 
PubchemFP489,327,N-C-S-C 
PubchemFP301,328,N-O 
PubchemFP523,329,N:C:C-C 
PubchemFP115,330,>= 1 any ring size 3 
PubchemFP432,331,C(-C)(-C)(=O) 
PubchemFP651,332,O-C:C:C-C 
PubchemFP328,333,C(~Br)(~C)(~C) 
PubchemFP339,334,C(~C)(~C)(~H)(~O) 
PubchemFP860,335,CC1C(C)CCC1 
PubchemFP530,336,N:C-C:C 
PubchemFP473,337,S-C:N:C 
PubchemFP581,338,O=C-C-C-O 
PubchemFP668,339,C-C:C-C-C 
PubchemFP567,340,O-C-C-O 
PubchemFP670,341,Br-C:C:C-C 
PubchemFP700,342,O-C-C-C-C-C-O-C 
PubchemFP778,343,CC1CCC(S)CC1 
PubchemFP148,344,>= 1 unsaturated non-aromatic nitrogen-containing ring size 5 
PubchemFP393,345,N(~C)(~H) 
PubchemFP731,346,Clc1ccc(Cl)cc1 
PubchemFP780,347,CC1CCC(Cl)CC1 
PubchemFP43,348,>= 1 Br 
PubchemFP365,349,C(~H)(~N) 
PubchemFP715,350,Cc1ccc(S)cc1 
PubchemFP705,351,O=C-C-C-C-C(O)-C 
PubchemFP149,352,>= 1 unsaturated non-aromatic heteroatom-containing ring size 5 
PubchemFP554,353,Br-C-C-C 
PubchemFP741,354,Oc1cc(S)ccc1 
PubchemFP460,355,C-C-C#C 
PubchemFP785,356,OC1CCC(Cl)CC1 
PubchemFP612,357,N-C-O-C-C 
PubchemFP327,358,C(~Br)(~C) 
PubchemFP630,359,O-C:C-O-C 
PubchemFP813,360,NC1CC(Cl)CCC1 
PubchemFP474,361,S:C:C:N 
PubchemFP160,362,>= 3 saturated or aromatic heteroatom-containing ring size 5 
PubchemFP824,363,OC1C(O)CCCC1 
PubchemFP804,364,OC1CC(S)CCC1 
PubchemFP409,365,O(:C)(:C) 
PubchemFP387,366,C(:C)(:N) 
PubchemFP116,367,>= 1 saturated or aromatic carbon-only ring size 3 
PubchemFP382,368,C(~O)(:C)(:C) 
PubchemFP350,369,C(~C)(~I) 
PubchemFP729,370,Nc1ccc(Cl)cc1 
PubchemFP806,371,OC1CC(Cl)CCC1 
PubchemFP608,372,C-C-C-C:C 
PubchemFP540,373,C-N-C-[#1] 
PubchemFP558,374,O=N-C:C 
PubchemFP508,375,S=C-N-C 
PubchemFP297,376,C-Br 
PubchemFP595,377,C:C-C-C-C 
PubchemFP625,378,O=C-C:C-O 
PubchemFP664,379,C-C=C-C=C 
PubchemFP262,380,>= 4 hetero-aromatic rings 
PubchemFP537,381,O=C-C-O 
PubchemFP629,382,S-C:C:C-N 
PubchemFP794,383,ClC1CCC(Cl)CC1 
PubchemFP854,384,NC1CC(N)CC1 
PubchemFP403,385,N(:C)(:C) 
PubchemFP722,386,Oc1ccc(Cl)cc1 
PubchemFP693,387,O=C-C-C-C-C-O 
PubchemFP440,388,C(-C)(-O)(=O) 
PubchemFP603,389,C-C:C:C-C 
PubchemFP462,390,O-C-C=O 
PubchemFP610,391,C-O-C-O-C 
PubchemFP761,392,Oc1c(O)cccc1 
PubchemFP34,393,>= 2 S 
PubchemFP675,394,Br-C-C-C:C 
PubchemFP750,395,Nc1cc(Cl)ccc1 
PubchemFP650,396,O=C-N-C=O 
PubchemFP511,397,S=C-N-[#1] 
PubchemFP358,398,C(~C)(:N) 
PubchemFP788,399,SC1CCC(N)CC1 
PubchemFP448,400,C(-H)(=O)
PubchemFP434,401,C(-C)(-H)(=C) 
PubchemFP371,402,C(~H)(:C)(:C) 
PubchemFP461,403,O-C-C=N 
PubchemFP563,404,O-C-O-C 
PubchemFP661,405,O-C-O-C-C 
PubchemFP505,406,Cl-C:C-O 
PubchemFP436,407,C(-C)(-H)(=O) 
PubchemFP677,408,C-C=C-C:C 
PubchemFP584,409,C:C-C=C-C 
PubchemFP340,410,C(~C)(~C)(~N) 
PubchemFP725,411,Sc1ccc(N)cc1 
PubchemFP509,412,Br-C:C-C 
PubchemFP578,413,C-C:C-C:C 
PubchemFP418,414,C=N 
PubchemFP736,415,Cc1cc(S)ccc1 
PubchemFP815,416,ClC1CC(Cl)CCC1 
PubchemFP495,417,C-N-C:C 
PubchemFP799,418,CC1CC(S)CCC1 
PubchemFP809,419,SC1CC(N)CCC1 
PubchemFP765,420,Oc1c(Br)cccc1 
PubchemFP681,421,O-C-C-C-C-O 
PubchemFP370,422,C(~H)(:C) 
PubchemFP807,423,OC1CC(Br)CCC1 
PubchemFP823,424,CC1C(Br)CCCC1 
PubchemFP538,425,N=C-C-C
PubchemFP452,426,C(-O)(=O) 
PubchemFP683,427,N-C-C-C-C-C 
PubchemFP752,428,Clc1cc(Cl)ccc1 
PubchemFP454,429,N(-C)(=O) 
PubchemFP648,430,O=N-C:C-N 
PubchemFP592,431,N-C-C-C-C 
PubchemFP551,432,Cl-C-C-O 
PubchemFP423,433,N=O 
PubchemFP820,434,CC1C(S)CCCC1 
PubchemFP184,435,>= 1 unsaturated non-aromatic heteroatom-containing ring size 6 
PubchemFP367,436,C(~H)(~O)(~O) 
PubchemFP147,437,>= 1 unsaturated non-aromatic carbon-only ring size 5 
PubchemFP613,438,C-N-C-C-C 
PubchemFP706,439,O=C-C-C-C-C(=O)-C 
PubchemFP390,440,N(~C)(~C) 
PubchemFP585,441,C-C:C-N-C 
PubchemFP183,442,>= 1 unsaturated non-aromatic nitrogen-containing ring size 6 
PubchemFP760,443,Cc1c(Br)cccc1 
PubchemFP544,444,O-C:C-O 
PubchemFP257,445,>= 2 aromatic rings 
PubchemFP446,446,C(-H)(=C) 
PubchemFP744,447,Oc1cc(Br)ccc1 
PubchemFP347,448,C(~C)(~H)(~O)(~O) 
PubchemFP781,449,CC1CCC(Br)CC1 
PubchemFP657,450,C-N-C:C-C 
PubchemFP583,451,Cl-C:C-O-C 
PubchemFP256,452,>= 1 hetero-aromatic ring 
PubchemFP607,453,N-C-C-C:C 
PubchemFP605,454,O=C-C-O-C 
PubchemFP14,455,>= 1 N 
PubchemFP792,456,NC1CCC(Cl)CC1 
PubchemFP694,457,O=C-C-C-C-C=O 
PubchemFP534,458,S-C:C-O 
PubchemFP557,459,N:C-O-[#1] 
PubchemFP559,460,O-C-N-[#1] 
PubchemFP555,461,N=C-C=C 
PubchemFP663,462,O-C-C-O-[#1] 
PubchemFP828,463,OC1C(Br)CCCC1 
PubchemFP827,464,OC1C(Cl)CCCC1 
PubchemFP214,465,>= 1 saturated or aromatic carbon-only ring size 7 
PubchemFP686,466,O=C-C-C-C-O 
PubchemFP746,467,Sc1cc(N)ccc1 
PubchemFP743,468,Oc1cc(Cl)ccc1 
PubchemFP492,469,N-C:O:C 
PubchemFP587,470,N-C:C-O-[#1] 
PubchemFP376,471,C(~N)(:C) 
PubchemFP15,472,>= 2 N 
PubchemFP564,473,C=C-C=C 
PubchemFP470,474,C:C-C=C 
PubchemFP757,475,Cc1c(S)cccc1 
PubchemFP588,476,O=C-C-C=O
PubchemFP556,477,C=C-C-C 
PubchemFP464,478,N-C-C=C 
PubchemFP628,479,C-N-C-C:C 
PubchemFP582,480,C-C-C-C-C 
PubchemFP9,481,>= 2 C 
PubchemFP8,482,>= 4 B 
PubchemFP7,483,>= 2 B 
PubchemFP6,484,>= 1 B 
PubchemFP5,485,>= 2 Li 
PubchemFP4,486,>= 1 Li 
PubchemFP178,487,>= 1 any ring size 6 
PubchemFP49,488,>= 1 Be 
PubchemFP859,489,BrC1CC(Br)CC1 
PubchemFP39,490,>= 4 Cl 
PubchemFP22,491,>= 16 O 
PubchemFP29,492,>= 2 Si 
PubchemFP600,493,N-C:C:C-C 
PubchemFP858,494,ClC1CC(Br)CC1 
PubchemFP25,495,>= 4 F 
PubchemFP11,496,>= 8 C 
PubchemFP169,497,>= 4 unsaturated non-aromatic nitrogen-containing ring size 5 
PubchemFP10,498,>= 4 C 
PubchemFP31,499,>= 2 P 
PubchemFP55,500,>= 1 V 
PubchemFP64,501,>= 1 Ge 
PubchemFP570,502,C:C-C-C 
PubchemFP41,503,>= 1 K 
PubchemFP21,504,>= 8 O 
PubchemFP857,505,ClC1CC(Cl)CC1 
PubchemFP633,506,N-C-C:C-C 
PubchemFP26,507,>= 1 Na 
PubchemFP72,508,>= 1 Nb 
PubchemFP65,509,>= 1 As 
PubchemFP856,510,NC1CC(Br)CC1 
PubchemFP764,511,Oc1c(Cl)cccc1 
PubchemFP51,512,>= 1 Al 
PubchemFP61,513,>= 1 Cu 
PubchemFP285,514,C-N 
PubchemFP851,515,SC1CC(N)CC1 
PubchemFP45,516,>= 4 Br 
PubchemFP490,517,C-C-C=C 
PubchemFP449,518,C(-N)(=C) 
PubchemFP520,519,C=C-C:C 
PubchemFP545,520,N-C:C-C 
PubchemFP32,521,>= 4 P 
PubchemFP48,522,>= 4 I 
PubchemFP28,523,>= 1 Si 
PubchemFP36,524,>= 8 S 
PubchemFP835,525,NC1C(Br)CCCC1 
PubchemFP518,526,O=C-N-N 
PubchemFP855,527,NC1CC(Cl)CC1 
PubchemFP108,528,>= 1 Dy 
PubchemFP27,529,>= 2 Na 
PubchemFP30,530,>= 1 P 
PubchemFP69,531,>= 1 Sr 
PubchemFP733,532,Brc1ccc(Br)cc1 
PubchemFP649,533,O=N-C:C-O 
PubchemFP35,534,>= 4 S 
PubchemFP78,535,>= 1 Cd 
PubchemFP847,536,OC1CC(N)CC1 
PubchemFP40,537,>= 8 Cl 
PubchemFP524,538,C-C=C-C 
PubchemFP57,539,>= 1 Mn 
PubchemFP324,540,P-P 
PubchemFP208,541,>= 5 saturated or aromatic nitrogen-containing ring size 6 
PubchemFP58,542,>= 1 Fe 
PubchemFP846,543,OC1CC(S)CC1 
PubchemFP747,544,Sc1cc(Cl)ccc1 
PubchemFP96,545,>= 1 Tl 
PubchemFP442,546,C(-C)(=N) 
PubchemFP62,547,>= 1 Zn 
PubchemFP726,548,Sc1ccc(Cl)cc1 
PubchemFP845,549,OC1CC(O)CC1 
PubchemFP139,550,>= 2 saturated or aromatic heteroatom-containing ring size 4 
PubchemFP665,551,N-C:C-C-C 
PubchemFP53,552,>= 1 Sc 
PubchemFP137,553,>= 2 saturated or aromatic carbon-only ring size 4 
PubchemFP66,554,>= 1 Se 
PubchemFP141,555,>= 2 unsaturated non-aromatic nitrogen-containing ring size 4 
PubchemFP59,556,>= 1 Co 
PubchemFP348,557,C(~C)(~H)(~P) 
PubchemFP56,558,>= 1 Cr 
PubchemFP424,559,N=P 
PubchemFP136,560,>= 2 any ring size 4 
PubchemFP42,561,>= 2 K 
PubchemFP99,562,>= 1 La 
PubchemFP411,563,P(~O)(~O) 
PubchemFP850,564,SC1CC(S)CC1 
PubchemFP54,565,>= 1 Ti 
PubchemFP203,566,>= 4 unsaturated non-aromatic carbon-only ring size 6 
PubchemFP413,567,S(~C)(~H) 
PubchemFP68,568,>= 1 Rb 
PubchemFP67,569,>= 1 Kr 
PubchemFP50,570,>= 1 Mg 
PubchemFP92,571,>= 1 Ir 
PubchemFP76,572,>= 1 Pd 
PubchemFP47,573,>= 2 I 
PubchemFP77,574,>= 1 Ag 
PubchemFP106,575,>= 1 Gd 
PubchemFP70,576,>= 1 Y 
PubchemFP112,577,>= 1 Yb 
PubchemFP63,578,>= 1 Ga 
PubchemFP52,579,>= 1 Ca 
PubchemFP89,580,>= 1 W 
PubchemFP60,581,>= 1 Ni 
PubchemFP122,582,>= 2 any ring size 3 
PubchemFP75,583,>= 1 Rh 
PubchemFP97,584,>= 1 Pb 
PubchemFP754,585,Brc1cc(Br)ccc1 
PubchemFP853,586,SC1CC(Br)CC1 
PubchemFP739,587,Cc1cc(Br)ccc1 
PubchemFP172,588,>= 5 saturated or aromatic carbon-only ring size 5 
PubchemFP87,589,>= 1 Hf 
PubchemFP852,590,SC1CC(Cl)CC1 
PubchemFP105,591,>= 1 Eu 
PubchemFP101,592,>= 1 Pr 
PubchemFP82,593,>= 1 Te 
PubchemFP174,594,>= 5 saturated or aromatic heteroatom-containing ring size 5 
PubchemFP104,595,>= 1 Sm 
PubchemFP549,596,N-C-C:C 
PubchemFP848,597,OC1CC(Cl)CC1 
PubchemFP138,598,>= 2 saturated or aromatic nitrogen-containing ring size 4 
PubchemFP123,599,>= 2 saturated or aromatic carbon-only ring size 3 
PubchemFP79,600,>= 1 In 
PubchemFP71,601,>= 1 Zr 
PubchemFP131,602,>= 1 saturated or aromatic nitrogen-containing ring size 4 
PubchemFP428,603,C(#C)(-H) 
PubchemFP191,604,>= 2 unsaturated non-aromatic heteroatom-containing ring size 6 
PubchemFP81,605,>= 1 Sb 
PubchemFP90,606,>= 1 Re 
PubchemFP719,607,Oc1ccc(O)cc1 
PubchemFP109,608,>= 1 Ho 
PubchemFP86,609,>= 1 Lu 
PubchemFP95,610,>= 1 Hg 
PubchemFP88,611,>= 1 Ta 
PubchemFP426,612,P=P 
PubchemFP84,613,>= 1 Cs 
