num_features,mean_accuracy,mean_sensitivity,mean_specificity,mean_balanced_accuracy,mean_f1
1,0.7041758241758241,0.45512088317065025,0.7686177824870116,0.6118693328288309,0.38432934471928626
2,0.7903296703296704,0.2979251052849001,0.9163686426212208,0.6071468739530604,0.36683063934912197
3,0.7701098901098901,0.5196726307719877,0.835113925347103,0.6773932780595454,0.4769189025732271
4,0.770989010989011,0.5399966700050799,0.8307779142911151,0.6853872921480976,0.4864740590394432
5,0.791043956043956,0.5822965415895971,0.8444755130819237,0.7133860273357604,0.530467109430803
6,0.7726373626373626,0.617853650873533,0.8127887853680964,0.7153212181208146,0.5238160956110914
7,0.7793956043956044,0.6224503877032812,0.8202290950080665,0.7213397413556738,0.5334358641192508
8,0.7947252747252748,0.633513185910352,0.8361780952967348,0.7348456406035434,0.5557093312522201
9,0.7838461538461539,0.6735992472631834,0.8125244924213703,0.7430618698422768,0.5572807002891839
10,0.8035714285714286,0.6751672594255443,0.8366665797165127,0.7559169195710285,0.5812613399426028
11,0.8329120879120879,0.6888242215293532,0.8704569831187349,0.779640602324044,0.624752644455421
12,0.8443956043956043,0.6891726116630832,0.8848888368009217,0.7870307242320024,0.6411260568205082
13,0.8436263736263736,0.6870639758462046,0.8845771311874674,0.785820553516836,0.6397808221078705
14,0.8491758241758242,0.6837748939735079,0.8921990357856963,0.7879869648796021,0.6466920085423851
15,0.8532967032967033,0.6797933445393431,0.8983874131632931,0.789090378851318,0.6518846580811595
16,0.8562087912087912,0.6766972860888985,0.9027745901561617,0.7897359381225301,0.6559669696976453
17,0.8567582417582418,0.6781306343368835,0.9031934786816844,0.790662056509284,0.6569945193054308
18,0.8548351648351649,0.6628077055732761,0.9045586529712042,0.7836831792722401,0.6484163544523696
19,0.855,0.6633819675661002,0.9045641200587637,0.783973043812432,0.6488175794294718
20,0.8568681318681318,0.6645996514071848,0.9066929895851152,0.78564632049615,0.6522014708546218
21,0.8586813186813187,0.669132873911764,0.9077716644461548,0.7884522691789594,0.6565713200411321
22,0.8589010989010989,0.6661880461768995,0.908785022238526,0.7874865342077128,0.6558353510586045
23,0.8582417582417582,0.6704695983093298,0.9068330369553761,0.788651317632353,0.6561699187122996
24,0.8578021978021978,0.6699987836285823,0.9064273325984051,0.7882130581134937,0.6554738576468614
25,0.856978021978022,0.6712750956015204,0.9050662358578135,0.788170665729667,0.6547741632892106
26,0.8556593406593407,0.6666616533239508,0.9044745379197949,0.7855680956218728,0.6506098096926525
27,0.8567582417582418,0.6634774860587149,0.9069240654395887,0.7852007757491518,0.6516521028057876
28,0.8582417582417582,0.661267213413485,0.9092184135626545,0.7852428134880698,0.6525526113478021
29,0.8622527472527473,0.6587715618980543,0.914980924513282,0.7868762432056681,0.6586246878783213
30,0.8625824175824176,0.6627756616888799,0.9145266206925107,0.7886511411906952,0.6607656179806535
31,0.8613736263736264,0.6607455431290735,0.9133527801834593,0.7870491616562665,0.6581568470931286
32,0.8632417582417582,0.6677308355441238,0.9137962397459733,0.7907635376450486,0.6633802045446343
33,0.862912087912088,0.6675199648425106,0.9136607137922657,0.7905903393173881,0.6630222286567002
34,0.8643406593406593,0.6661239637964541,0.9158595633156753,0.7909917635560647,0.6649459659680484
35,0.8646153846153846,0.6746233554350851,0.9138420132155647,0.7942326843253249,0.6679256816892623
36,0.8644505494505494,0.6732593296345599,0.9139147236591681,0.793587026646864,0.6674155366862226
37,0.8643406593406593,0.6715786229610327,0.9143388497209253,0.7929587363409789,0.6666862199115156
38,0.8634065934065934,0.664391522622722,0.9148248160575128,0.7896081693401173,0.6624720026315071
39,0.8638461538461538,0.6676197573572202,0.9146698086646009,0.7911447830109106,0.6647205693375419
40,0.8627472527472527,0.6677296116155242,0.9133909114307116,0.790560261523118,0.6627586269588785
41,0.8642307692307692,0.6677350159534378,0.9153051855364516,0.7915201007449446,0.6654369677837658
42,0.8636813186813187,0.6609268054681041,0.9161862277713332,0.7885565166197186,0.6619144664919142
43,0.8642307692307692,0.6623738451164256,0.9166164942541586,0.7894951696852921,0.6634730445272947
44,0.8631318681318682,0.6593363509361826,0.9159950167239643,0.7876656838300735,0.6607289977689442
45,0.8629670329670329,0.6550466710232792,0.9167389458145461,0.7858928084189126,0.6587995916428535
46,0.8630769230769231,0.6583875150960801,0.9163880437010642,0.7873877793985722,0.6606102825032917
47,0.8604395604395605,0.6480013662094971,0.9153290528612458,0.7816652095353714,0.6517596939844189
48,0.8625274725274725,0.6520497539796506,0.9170542069740574,0.784551980476854,0.6569704572342155
49,0.8621428571428571,0.6498547811064445,0.91709615287075,0.7834754669885973,0.6556228106089578
50,0.8615934065934066,0.6517709979669699,0.9161442192675171,0.7839576086172435,0.6555292469594383
51,0.8627472527472527,0.6540467326814015,0.9169709398506259,0.7855088362660138,0.6582704843052994
52,0.8607692307692307,0.6484361621012441,0.9157201474651361,0.7820781547831901,0.6528805076900117
53,0.8607142857142858,0.6514094065342089,0.914829707527324,0.7831195570307664,0.6536801555025271
54,0.8620879120879121,0.6547334602950894,0.9158465792283867,0.7852900197617381,0.6573258548305423
55,0.8615934065934066,0.6553787278169417,0.9150526988465213,0.7852157133317315,0.6564438660210166
56,0.8620329670329671,0.6514261460416754,0.9165401492399065,0.7839831476407909,0.6560040851803859
57,0.8629670329670329,0.6562635780208445,0.9166184827006134,0.7864410303607289,0.6592260694577684
58,0.8612087912087912,0.6511690387779323,0.9156490485473364,0.7834090436626344,0.6544912901118584
59,0.8617582417582418,0.6541887285811919,0.9155320986926936,0.7848604136369428,0.6565665553392278
60,0.8615934065934066,0.6529153582154714,0.9157548988455045,0.784335128530488,0.6559687561378054
61,0.8612087912087912,0.653727824811572,0.9150348163209544,0.7843813205662632,0.6556695582146593
62,0.8613736263736264,0.6535737144259475,0.9150809770850235,0.7843273457554855,0.6556101034960224
63,0.8617032967032967,0.6529354240982594,0.9157867563509263,0.7843610902245929,0.656087174846148
64,0.8614285714285714,0.6529862111358873,0.915431767644156,0.7842089893900217,0.6554192594170883
65,0.8616483516483516,0.6520692691617334,0.915842773037686,0.7839560210997096,0.6555759006381517
66,0.8613186813186813,0.6532779252732696,0.9151812707747459,0.7842295980240077,0.6556419779551019
67,0.8620329670329671,0.6500044541675689,0.9169766231357438,0.7834905386516563,0.6554749261808911
68,0.8631868131868132,0.6559324582895999,0.916800451923018,0.7863664551063089,0.6595950882940839
69,0.8615934065934066,0.6530333197546506,0.9157208594227396,0.7843770895886951,0.6558181235800024
70,0.8623076923076923,0.6520281363583468,0.9167515464591091,0.7843898414087279,0.6567162973481898
71,0.8618131868131869,0.6506721167159537,0.9165363416409171,0.7836042291784354,0.6556548189425646
72,0.8612087912087912,0.6499515394118909,0.9158671086836337,0.7829093240477623,0.6543314539887297
73,0.8624725274725275,0.6539876489197145,0.9166470614014329,0.7853173551605737,0.6577881803390793
74,0.8613186813186813,0.6491165762391181,0.9163557743318202,0.7827361752854691,0.6541900265911806
75,0.8625824175824176,0.6508827819347734,0.9174597793445864,0.78417128063968,0.6568195237858816
76,0.8620879120879121,0.6512766255794359,0.916778083280089,0.7840273544297625,0.6561526990905288
77,0.8625824175824176,0.6521166069598909,0.917099606911396,0.7846081069356434,0.6574242599807468
78,0.8626923076923076,0.6530869844113811,0.9170493336972387,0.7850681590543099,0.6576881049925438
79,0.8619230769230769,0.6495582551183966,0.9169781685010095,0.7832682118097031,0.6551612785453778
80,0.8613736263736264,0.6480062273963969,0.9165467890038665,0.7822765082001317,0.6538036936705933
81,0.8615384615384616,0.6491125298883395,0.9167309502604118,0.7829217400743756,0.6545213498144378
